+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| ZRXUSDT      | 0.0007518     | 0.001141    | 0.04205      | 75.27         | 0.01282      | 0.01765     | 0.05224        | 0.812                  | 0.01097      | 1087.58 | -240179.250752 |
| XMRUSDT      | 0.0006385     | 0.001137    | 0.03762      | 67.73         | 0.006412     | 0.0142      | 0.06783        | 0.7258                 | 0.009302     | 1226.62 | -240179.250638 |
| C98USDT      | 0.0002971     | 0.001095    | 0.05774      | 53.8          | 0.01343      | 0.01841     | 0.09416        | 0.847                  | 0.01237      | 656.83  | -240179.250297 |
| STORJUSDT    | 0.0006613     | 0.001081    | 0.04103      | 92.85         | 0.01406      | 0.01252     | 0.03668        | 0.8487                 | 0.008197     | 1003.67 | -240179.250661 |
| AMBUSDT      | 0.001923      | 0.001056    | 0.07325      | 74.77         | 0.01738      | 0.01678     | 0.05643        | 0.8732                 | 0.01049      | 73.46   | -240179.251923 |
| QTUMUSDT     | 0.0005962     | 0.001052    | 0.05933      | 65.93         | 0.01464      | 0.01435     | 0.05293        | 0.7868                 | 0.009853     | 1212.62 | -240179.250596 |
| APTUSDT      | 0.000495      | 0.001048    | 0.03019      | 59.63         | 0.009997     | 0.009386    | 0.0149         | 0.9252                 | 0.005232     | 236.88  | -240179.250495 |
| JASMYUSDT    | 0.0009516     | 0.001034    | 0.02943      | 156.2         | 0.01585      | 0.01169     | 0.0            | 0.9674                 | 0.001958     | 422.83  | -234160.917618 |
| STGUSDT      | 0.0007165     | 0.001032    | 0.02079      | 81.67         | 0.01081      | 0.009201    | 0.0            | 0.9849                 | 0.001171     | 295.46  | -240179.250717 |
| LEVERUSDT    | 0.001884      | 0.001029    | 0.0458       | 51.27         | 0.01273      | 0.009943    | 0.0            | 0.9717                 | 0.002764     | 78.46   | -240179.251884 |
| BLZUSDT      | 0.0006605     | 0.001023    | 0.0484       | 93.12         | 0.01801      | 0.01825     | 0.08722        | 0.8346                 | 0.0104       | 997.67  | -240179.25066  |
| BALUSDT      | 0.000506      | 0.001016    | 0.02799      | 92.55         | 0.01205      | 0.00949     | 0.06009        | 0.9214                 | 0.002674     | 1013.67 | -240179.250506 |
| WOOUSDT      | 0.0007914     | 0.001008    | 0.04106      | 54.63         | 0.009583     | 0.01163     | 0.03835        | 0.9006                 | 0.007751     | 434.83  | -240179.250791 |
| QNTUSDT      | 0.000785      | 0.001007    | 0.04531      | 79.08         | 0.008101     | 0.006319    | 0.004521       | 0.9609                 | 0.002604     | 239.88  | -240179.250785 |
| ZECUSDT      | 0.0006912     | 0.001004    | 0.04249      | 95.82         | 0.01543      | 0.01779     | 0.07788        | 0.7513                 | 0.009793     | 1227.62 | -240179.250691 |
| ANTUSDT      | 0.0006812     | 0.0009762   | 0.0585       | 94.38         | 0.01846      | 0.04007     | 0.1413         | 0.6949                 | 0.02306      | 531.79  | -235852.190542 |
| DYDXUSDT     | 0.0006734     | 0.0009644   | 0.04311      | 90.2          | 0.01692      | 0.01619     | 0.07198        | 0.8263                 | 0.008766     | 644.83  | -240179.250673 |
| KAVAUSDT     | 0.000506      | 0.0009584   | 0.02985      | 93.98         | 0.01567      | 0.01271     | 0.04244        | 0.8989                 | 0.004203     | 1050.67 | -240179.250506 |
| MAGICUSDT    | 0.0009614     | 0.0009573   | 0.04023      | 91.47         | 0.01844      | 0.0143      | 0.0            | 0.9503                 | 0.005195     | 142.83  | -240179.250961 |
| GMTUSDT      | -5.319e-05    | 0.0009325   | 0.04087      | 108.3         | 0.01199      | 0.01056     | 0.3071         | 0.8852                 | 0.005919     | 458.79  | -218236.577525 |
| DASHUSDT     | 0.0004117     | 0.0008891   | 0.05073      | 94.73         | 0.0177       | 0.01494     | 0.0            | 0.8419                 | 0.007458     | 1227.62 | -240179.250412 |
| LPTUSDT      | 0.0003826     | 0.0008805   | 0.06066      | 118.6         | 0.0189       | 0.01834     | 0.09885        | 0.9057                 | 0.007807     | 578.83  | -237920.917049 |
| SSVUSDT      | 0.001059      | 0.0008631   | 0.04909      | 70.87         | 0.01892      | 0.01579     | 0.0            | 0.9349                 | 0.008064     | 112.46  | -240179.251059 |
| NEOUSDT      | 0.0004452     | 0.0008468   | 0.02104      | 93.8          | 0.01309      | 0.01056     | 0.003942       | 0.9515                 | 0.00204      | 1213.62 | -240179.250445 |
| SPELLUSDT    | 0.0007465     | 0.0008459   | 0.03832      | 71.87         | 0.007673     | 0.006917    | 0.002001       | 0.9475                 | 0.003093     | 283.46  | -240179.250747 |
