# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| QNTUSDT      | 0.000588      | 0.0008543   | 0.01374      | 65.55         | 0.005254     | 0.004438    | 0.0            | 0.9768                 | 0.001195     | 268.88  | -480179.300588 |
| LTCUSDT      | 0.0005784     | 0.001107    | 0.04037      | 90.97         | 0.0115       | 0.009316    | 0.03335        | 0.888                  | 0.006222     | 1281.62 | -480179.300578 |
| APTUSDT      | 0.0005557     | 0.001003    | 0.05559      | 53.12         | 0.0132       | 0.01112     | 0.04839        | 0.8887                 | 0.008254     | 269.88  | -480179.300556 |
| BLUEBIRDUSDT | 0.0005243     | 0.000797    | 0.05847      | 85.73         | 0.008204     | 0.008804    | 0.06501        | 0.932                  | 0.006595     | 255.46  | -480179.300524 |
| ARPAUSDT     | 0.0005218     | 0.0006079   | 0.02049      | 84.35         | 0.01434      | 0.01175     | 0.01265        | 0.9059                 | 0.003502     | 634.83  | -480179.300522 |
| IOTAUSDT     | 0.0005197     | 0.001424    | 0.04425      | 95.82         | 0.01436      | 0.01621     | 0.02186        | 0.7614                 | 0.007934     | 1247.62 | -480179.30052  |
| LEVERUSDT    | 0.0005172     | 0.0006235   | 0.05825      | 50.62         | 0.01574      | 0.01279     | 0.004596       | 0.9391                 | 0.004987     | 107.46  | -480179.300517 |
| ENSUSDT      | 0.0004845     | 0.0009718   | 0.05234      | 73.48         | 0.0159       | 0.01465     | 3.77e-05       | 0.914                  | 0.006152     | 592.83  | -480179.300485 |
| ARUSDT       | 0.000483      | 0.001197    | 0.05594      | 81.9          | 0.01705      | 0.01739     | 0.07889        | 0.8293                 | 0.01053      | 655.83  | -480179.300483 |
| CTSIUSDT     | 0.0004714     | 0.0006241   | 0.02578      | 95.08         | 0.01541      | 0.0127      | 0.008793       | 0.9138                 | 0.003536     | 627.83  | -480179.300471 |
| GMXUSDT      | 0.0004666     | 0.0008129   | 0.04678      | 71.5          | 0.007855     | 0.007238    | 0.0            | 0.9716                 | 0.002883     | 148.38  | -480179.300467 |
| MASKUSDT     | 0.0004637     | 0.0009281   | 0.02536      | 90.43         | 0.01514      | 0.0118      | 0.02028        | 0.9087                 | 0.004245     | 687.83  | -480179.300464 |
| WOOUSDT      | 0.0004625     | 0.0005968   | 0.04077      | 90.25         | 0.0184       | 0.01938     | 0.04613        | 0.8176                 | 0.009201     | 463.83  | -480179.300463 |
| DYDXUSDT     | 0.0004592     | 0.0007311   | 0.02956      | 77.53         | 0.0176       | 0.01494     | 0.01807        | 0.8995                 | 0.005504     | 673.83  | -480179.300459 |
| LUNA2USDT    | 0.0004504     | 0.0005863   | 0.0293       | 87.58         | 0.01498      | 0.01359     | 0.0            | 0.8726                 | 0.005877     | 308.83  | -480179.30045  |
| BNBUSDT      | 0.0004454     | 0.001291    | 0.01967      | 88.08         | 0.006404     | 0.006047    | 0.0255         | 0.9214                 | 0.00258      | 1249.62 | -480179.300445 |
| EOSUSDT      | 0.0004396     | 0.0008594   | 0.02321      | 89.07         | 0.01233      | 0.01134     | 0.0            | 0.9269                 | 0.002783     | 1282.62 | -480179.30044  |
| XVSUSDT      | 0.0004129     | 0.0004329   | 0.04016      | 61.88         | 0.01489      | 0.01414     | 0.002732       | 0.9335                 | 0.006364     | 93.88   | -480179.300413 |
| DASHUSDT     | 0.0004105     | 0.0008841   | 0.05172      | 94.73         | 0.01772      | 0.01486     | 0.0            | 0.8408                 | 0.007454     | 1255.62 | -480179.300411 |
| KAVAUSDT     | 0.0004101     | 0.0008949   | 0.02701      | 89.6          | 0.01675      | 0.01432     | 0.02254        | 0.9086                 | 0.004393     | 1081.67 | -480179.30041  |
| BNXUSDT      | 0.0004021     | 0.0005724   | 0.04024      | 89.4          | 0.01996      | 0.01406     | 0.0            | 0.9665                 | 0.00342      | 143.38  | -480179.300402 |
