+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| CHRUSDT      | 0.0009999                 | 31.23         | 0.01139          | 0.0129          | 0.2184            | 0.843                        | 0.009123        | 760.71  | -36007.00099994852  |
| BAKEUSDT     | 0.0009809                 | 36.12         | 0.02133          | 0.02972         | 0.1078            | 0.8314                       | 0.02157         | 692.71  | -36007.00098089168  |
| ICXUSDT      | 0.0009762                 | 50.42         | 0.01455          | 0.01656         | 0.1896            | 0.9208                       | 0.005894        | 938.71  | -36007.00097617475  |
| NEOUSDT      | 0.0009724                 | 52.12         | 0.01452          | 0.01546         | 0.2481            | 0.9158                       | 0.007834        | 1149.63 | -36007.00097241436  |
| SXPUSDT      | 0.0009499                 | 70.65         | 0.01347          | 0.01737         | 0.2814            | 0.8834                       | 0.008591        | 994.62  | -36007.00094988926  |
| AAVEUSDT     | 0.0009451                 | 28.55         | 0.01068          | 0.01052         | 0.2498            | 0.9153                       | 0.006232        | 907.71  | -36007.00094506577  |
| LITUSDT      | 0.0009375                 | 53.68         | 0.01807          | 0.024           | 0.2465            | 0.9359                       | 0.01249         | 782.71  | -36007.00093750145  |
| ZRXUSDT      | 0.0009335                 | 37.82         | 0.01371          | 0.01568         | 0.2571            | 0.9447                       | 0.008651        | 1021.62 | -36007.00093349427  |
| BELUSDT      | 0.000924                  | 54.97         | 0.01894          | 0.02121         | 0.263             | 0.9073                       | 0.00889         | 874.71  | -36007.00092402783  |
| LTCUSDT      | 0.0009118                 | 49.25         | 0.01233          | 0.01442         | 0.2654            | 0.9203                       | 0.008319        | 1188.66 | -36007.000911755604 |
| 1INCHUSDT    | 0.0009056                 | 49.68         | 0.01582          | 0.01692         | 0.298             | 0.906                        | 0.007708        | 837.58  | -36007.00090556647  |
| RENUSDT      | 0.0009053                 | 48.43         | 0.01443          | 0.01425         | 0.2215            | 0.9511                       | 0.005171        | 910.71  | -36007.000905319    |
| RSRUSDT      | 0.0009026                 | 30.13         | 0.01464          | 0.01596         | 0.2523            | 0.9356                       | 0.01025         | 904.7   | -36007.00090260006  |
| XLMUSDT      | 0.0008812                 | 36.28         | 0.007229         | 0.01147         | 0.2488            | 0.9161                       | 0.006265        | 1177.66 | -36007.0008811709   |
| BCHUSDT      | 0.0008561                 | 40.63         | 0.0135           | 0.02907         | 0.2608            | 0.8268                       | 0.01792         | 1197.0  | -36007.00085613977  |
| SUSHIUSDT    | 0.0008111                 | 67.58         | 0.02202          | 0.02432         | 0.2475            | 0.9221                       | 0.009073        | 949.71  | -36007.00081107819  |
| XEMUSDT      | 0.0007654                 | 44.82         | 0.01481          | 0.01789         | 0.2346            | 0.8961                       | 0.008607        | 769.71  | -36007.00076540225  |
| ETHUSDT      | 0.0006757                 | 32.17         | 0.01169          | 0.01272         | 0.2091            | 0.9405                       | 0.006863        | 1197.0  | -36007.000675713745 |
| ONTUSDT      | 0.0006597                 | 38.92         | 0.01447          | 0.0149          | 0.1631            | 0.9029                       | 0.007523        | 1155.66 | -36007.000659711426 |
| BALUSDT      | 0.0005568                 | 47.03         | 0.01001          | 0.01234         | 0.2634            | 0.9405                       | 0.006073        | 952.71  | -36007.00055679298  |
| BTCUSDT      | 0.0005038                 | 13.37         | 0.005647         | 0.005438        | 0.2329            | 0.9426                       | 0.00227         | 1197.0  | -36007.00050378192  |
| FLMUSDT      | 0.000458                  | 51.02         | 0.01856          | 0.01597         | 0.2636            | 0.9119                       | 0.006132        | 924.71  | -36007.00045803872  |
| KLAYUSDT     | 0.0003042                 | 67.2          | 0.01428          | 0.01337         | 0.2023            | 0.9424                       | 0.004127        | 546.85  | -36007.0003042211   |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               short                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| LUNA2USDT    | 0.008688                  | 27.23         | 0.01053          | 0.01522         | 0.1827            | 0.9663                       | 0.01597         | 213.87  | -16007.008688390633 |
| 1000LUNCUSDT | 0.007734                  | 65.3          | 0.01385          | 0.02107         | 0.2242            | 0.9302                       | 0.02463         | 214.46  | -16007.007734334438 |
| SPELLUSDT    | 0.007294                  | 25.28         | 0.01097          | 0.01341         | 0.05774           | 0.9415                       | 0.01434         | 217.5   | -16007.0072941459   |
| LDOUSDT      | 0.006702                  | 45.68         | 0.01106          | 0.0133          | 0.1552            | 0.9827                       | 0.009213        | 201.5   | -16007.006701616134 |
| GALUSDT      | 0.006136                  | 64.33         | 0.01913          | 0.02345         | 0.07588           | 0.9427                       | 0.01503         | 341.41  | -16007.006136194745 |
| NKNUSDT      | 0.005982                  | 66.52         | 0.02156          | 0.02707         | 0.1194            | 0.818                        | 0.02804         | 732.71  | -16007.005981733695 |
| CELOUSDT     | 0.005594                  | 38.1          | 0.01352          | 0.01739         | 0.1533            | 0.893                        | 0.02019         | 561.85  | -16007.005593726135 |
| DARUSDT      | 0.005431                  | 61.85         | 0.01947          | 0.02577         | 0.2087            | 0.8468                       | 0.02665         | 347.85  | -16007.005431315774 |
| AUDIOUSDT    | 0.005356                  | 89.83         | 0.01067          | 0.02079         | 0.2029            | 0.9192                       | 0.0168          | 600.85  | -16007.005355577508 |
| ATAUSDT      | 0.005345                  | 52.88         | 0.01844          | 0.02237         | 0.04428           | 0.822                        | 0.02271         | 588.85  | -16007.00534506375  |
| LITUSDT      | 0.005221                  | 67.93         | 0.02057          | 0.02604         | 0.03438           | 0.8463                       | 0.0271          | 782.71  | -16007.00522081062  |
| DUSKUSDT     | 0.00521                   | 34.6          | 0.02451          | 0.02826         | 0.08788           | 0.8241                       | 0.02598         | 459.85  | -16007.005209865747 |
| LINAUSDT     | 0.004947                  | 48.27         | 0.02223          | 0.02551         | 0.06814           | 0.7994                       | 0.0251          | 753.71  | -16007.004947399473 |
| API3USDT     | 0.004852                  | 79.63         | 0.02443          | 0.02687         | 0.08671           | 0.8322                       | 0.02582         | 413.85  | -16007.00485181372  |
| INJUSDT      | 0.004805                  | 33.17         | 0.009628         | 0.009305        | 0.09041           | 0.9617                       | 0.005287        | 237.88  | -16007.004804820564 |
| CVXUSDT      | 0.004709                  | 35.68         | 0.02189          | 0.02485         | 0.08903           | 0.8811                       | 0.02421         | 201.49  | -16007.00470852726  |
| FLOWUSDT     | 0.004676                  | 91.1          | 0.01726          | 0.0206          | 0.1942            | 0.9289                       | 0.01309         | 425.85  | -16007.004675868273 |
| CTSIUSDT     | 0.004635                  | 81.88         | 0.01175          | 0.02069         | 0.2706            | 0.9738                       | 0.01925         | 532.85  | -16007.004634565063 |
| JASMYUSDT    | 0.004544                  | 37.68         | 0.01586          | 0.02783         | 0.05517           | 0.7824                       | 0.02696         | 356.85  | -16007.00454378737  |
