trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
2868557,2041.5,buy,long,entry,3660941.0,0.0,0.44831508694587313,3660941.0,2041.5,0.0,,,326.9742908200999,227.01821206107505,0.0,210.1116117110085,16.90660035006651,327.01821206107513,1773.9036688141723,1617486475096.0,0.7672508998335539,0.00013432628254984888,3.2697429082009988,30.600973217592593,1.0394740106526674,0.0,0.0,0.0
2929257,2054.55,sel,long,close,-3660941.0,11.390351920651705,0.4454674989657102,0.0,,0.0,,0.13661848105997645,338.8540314806925,238.85403148069247,0.0,221.5019636316602,17.352067849032217,338.8540314806925,,1617529661462.0,0.7834862856459665,0.0,3.3885403148069253,31.100815416666666,1.0400201670648974,0.0,0.0,0.0
2984252,2026.85,buy,long,entry,3771390.0,0.0,0.4651787256087032,3771390.0,2026.85,0.0,,,339.2733074309308,239.31921020630116,0.0,221.5019636316602,17.81724657464092,339.31921020630125,1761.173954616825,1617595043020.0,0.798195759167443,0.00013529733806068807,3.392733074309308,31.85754641203704,1.0390915551451094,0.0,0.0,0.0
2985347,2039.85,sel,long,close,-3771390.0,11.85836886616828,0.4622141333921612,0.0,,0.0,,0.13663711230117898,351.6397932058617,251.6397932058616,0.0,233.3603324978285,18.27946070803308,351.6397932058617,,1617595565438.0,0.7984886380383588,0.0,3.516397932058617,31.863592916666665,1.0402521454320264,0.0,0.0,0.0
2987728,2025.15,buy,long,entry,3910411.0,0.0,0.4827310322692146,3910411.0,2025.15,0.0,,,352.0748494534516,252.1225242381308,0.0,233.3603324978285,18.762191740302296,352.1225242381309,1759.6967971249455,1617598460022.0,0.7991254824142955,0.00013541093535458326,3.5207484945345158,31.897095046296297,1.0402493524027248,0.0,0.0,0.0
3004005,2038.1,sel,long,close,-3910411.0,12.269009112185593,0.47966377999116827,0.0,,0.0,,0.1366205641758725,364.8711971303077,264.87119713030756,0.0,245.62934161001408,19.241855520293463,364.8711971303077,,1617614862167.0,0.803479080023334,0.0,3.6487119713030767,32.0869346875,1.0411642971319908,0.0,0.0,0.0
3130242,2078.85,buy,long,entry,4165143.0,0.0,0.5008950862255575,4165143.0,2078.85,0.0,,,365.32390142509365,265.37209221653313,0.0,245.62934161001408,19.74275060651902,365.37209221653325,1806.3578845823188,1617718227021.0,0.8372436005966705,0.00013191250627623058,3.6532390142509366,33.283287164351854,1.039694447472429,0.0,0.0,0.0
3147161,2092.15,sel,long,close,-4165143.0,12.736954131969535,0.4977108476925651,0.0,,0.0,,0.13662274898082452,378.60675719619536,278.60675719619525,0.0,258.3662957419836,20.240461454211587,378.60675719619536,,1617725368903.0,0.8417689134889309,0.0,3.7860675719619534,33.36594783564815,1.0407075274247966,0.0,0.0,0.0
3208192,2072.7,buy,long,entry,4309154.0,0.0,0.5197512905871569,4309154.0,2072.7,0.0,,,379.07635517671247,279.1265084867824,0.0,258.3662957419836,20.760212744798743,379.12650848678254,1801.0140330935617,1617779123446.0,0.8580928316358395,0.0001323039788295233,3.7907635517671245,33.988106898148146,1.0399856085733676,0.0,0.0,0.0
3415355,2085.95,sel,long,close,-4309154.0,13.20588623942058,0.5164498190273017,0.0,,0.0,,0.13661839257259747,392.8488445452304,292.8488445452303,0.0,271.5721819814042,21.276662563826044,392.8488445452304,,1617925360740.0,0.9135025718509436,0.0,3.928488445452304,35.6806681712963,1.0390919725055683,0.0,0.0,0.0
3560313,2106.4,buy,long,entry,4543950.0,0.0,0.5393028389669577,4543950.0,2106.4,0.0,,,393.33694005028156,293.3881473841972,0.0,271.5721819814042,21.815965402793,393.38814738419734,1830.2967019559192,1618087679368.0,0.9522743849744313,0.00013018694330931056,3.9333694005028157,37.55935599537037,1.0371350902424554,0.0,0.0,0.0
3569892,2119.9,sel,long,close,-4543950.0,13.737607106097302,0.5358684371904335,0.0,,0.0,,0.13663213662778873,407.6616229274851,307.661622927485,0.0,285.3097890875015,22.351833839983435,407.6616229274851,,1618093871028.0,0.9548364732890458,0.0,4.076616229274851,37.63101872685185,1.0380493459272075,0.0,0.0,0.0
3678881,2123.35,buy,long,entry,4753228.0,0.0,0.5596378364377046,4753228.0,2123.35,0.0,,,408.16854679637845,308.2212607639227,0.0,285.3097890875015,22.91147167642114,408.2212607639228,1845.0249340944688,1618223983788.0,0.9839876835742029,0.00012914754935949282,4.081685467963784,39.13695344907408,1.0365917393722577,0.0,0.0,0.0
3680905,2136.95,sel,long,close,-4753228.0,14.24661236912923,0.5560761833454223,0.0,,0.0,,0.13662848193988358,423.0239493163975,323.02394931639736,0.0,299.55640145663074,23.46754785976656,423.0239493163975,,1618224822226.0,0.9845290414141422,0.0,4.230239493163975,39.14665759259259,1.0375295407866174,0.0,0.0,0.0
